Recipes_name,Ingredients,Recipes,Flavor,Difficulty,Estimated Cooking Time
Sweet and Sour Pork Ribs,Pork ribs; Soy sauce; Vinegar; Sugar; Ginger; Garlic; Scallion,"Pan-fry ribs until golden, braise with soy, vinegar, and sugar until sauce thickens and glossy.",Sweet & Tangy,Medium,40 min
Hiroshima-Style Okonomiyaki,Pork belly; Cabbage; Bean sprouts; Egg; Noodles; Okonomiyaki sauce,"Layer vegetables, noodles, and egg pancake, cook dry, finish with sauce and bonito flakes.",Japanese & Savory,Medium,30 min
Oil-Free Braised Eggplant,Eggplant; Minced pork; Peppers; Soy sauce; Oyster sauce; Garlic; Chili,Braise eggplant with minced pork and peppers in light sauce without added oil.,Light & Spicy,Medium,25 min
Spicy Mashed Potatoes,Potato; Egg; Lettuce; Chili powder; Cumin; Garlic; Vinegar; Soy sauce,"Mash cooked potatoes with egg, mix with hot oil chili sauce, serve with lettuce.",Spicy & Tangy,Simple,20 min
Zucchini & Carrot Egg Pancakes,Zucchini; Carrot; Egg; Salt; White pepper,"Shred and salt vegetables, mix with egg, pan-fry into thin golden pancakes.",Light & Mild,Simple,20 min
Steamed Minced Pork with Mushrooms & Edamame,Minced pork; Edamame; White shimeji; Crab-flavored mushrooms,"Marinate pork, layer mushrooms and edamame, steam 25 min until tender and juicy.",Light & Savory,Simple,30 min
Golden Shrimp Noodles,Shrimp; Egg; Ginger; Scallion; Soy sauce; Starch; Fresh noodles,"Marinate shrimp, coat with batter and fry, serve with egg soup over noodles.",Crispy & Aromatic,Medium,25 min
Garlic Edamame Crawfish,Crawfish; Edamame; Garlic; Beer; Garlic sauce,"Stir-fry crawfish with garlic, sauce, and beer, simmer 20 min with edamame.",Spicy & Rich,Medium,40 min
Crisp Pickled Green Plums,Green plums; Salt; Brown sugar,"Hardened plums salted, soaked, then layered with sugar and steeped until glossy.",Sweet & Tart,Advanced,2 days
Braised Potatoes with Green Beans,Potato; Green beans; Soy sauce; Oyster sauce; Sugar,"Fry potatoes and beans, coat in soy-based glaze, cook until thick and sticky.",Savory & Homey,Simple,20 min
Clam & Vegetable Egg Soup,Clams; Egg; Tomato; Asparagus; Mushroom; Ginger; Cooking wine,"Boil clams with ginger and wine, remove meat, use broth to cook tomato and vegetables, add eggs for a rich soup.",Light & Fresh,Simple,25 min
Clam & Vermicelli Casserole,Vermicelli; Clams; Enoki; Napa cabbage; Garlic; Chili; Soy sauces; Oyster sauce,"Layer ingredients in a clay pot, pour garlic sauce and soy mix, simmer until clams open and noodles absorb broth.",Umami & Aromatic,Medium,30 min
Soy-Pickled Cucumbers,Cucumber; Soy sauce; Sugar; Salt; Chili; Garlic; Liquor,"Brine cucumbers overnight, soak in boiled soy-sugar mixture, repeat twice for deep flavor.",Sweet & Savory,Advanced,2 days
Quail Eggs with Peppers & Pork,Quail eggs; Pork; Green & red chili; Garlic; Ginger; Soy sauces; Chili paste,"Fry coated quail eggs until golden, stir-fry with marinated pork and peppers, glaze lightly.",Spicy & Fragrant,Medium,35 min
Crispy Pepper-Salt Pork Chop,Pork chop; Flour; Starch; Soy sauce; Spices; Wine; Pepper salt,"Pound and marinate pork, coat with batter, deep-fry twice until crisp, sprinkle pepper salt.",Crispy & Savory,Medium,30 min
Xinjiang Lamb Pilaf,Lamb; Rice; Carrot; Yellow radish; Onion; Cumin; Soy sauce,"Braise lamb with carrots and spices, cook together with rice until fluffy and aromatic.",Hearty & Spiced,Medium,50 min
Pumpkin Sweet Bean Rolls,Pumpkin; Yeast; Flour; Sweet beans; Sugar,"Mix pumpkin puree with flour and yeast, wrap sweet beans, roll and steam until soft.",Sweet & Fluffy,Simple,1 h
Double Chili Beef,Beef; Chili; Garlic; Soy sauce; Oyster sauce,"Stir-fry beef with chopped chilis and sauce until tender, finish with a glossy gla",Smoky & Savory,Medium,39 min
"Sichuan Claypot Rice with Bacon, Potato & Beans",Bacon; Potato; Green beans; Rice; Soy sauces; Chili bean paste; Garlic; Chili,"Fry bacon with chili and garlic, mix with veggies and sauces, layer with half-cooked rice, steam until fragrant.",Smoky & Savory,Medium,40 min
Stir-Fried Razor Clams with Pickled Greens,Razor clams; Pickled greens; Garlic; Ginger; Soy sauce; Wine,"Blanch clams, stir-fry with pickled greens, aromatics, and light soy for a briny balance.",Fresh & Umami,Simple,20 min
Black Pepper Onion Konjac with Egg,Onion; Konjac; Egg; Garlic; Black pepper; Salt; Sesame,"Sauté onion and konjac, add scrambled egg and seasonings, sprinkle sesame before serving.",Light & Peppery,Simple,15 min
Leaf-Wrapped Sticky Rice Dumplings,Leaves; Sticky rice flour; Amaranth or chive filling; Meat; Salt,"Spread rice paste and vegetable filling on leaves, fold, steam until chewy and aromatic.",Earthy & Traditional,Medium,30 min
Fermented Rice Cake (Lianggao),Glutinous rice; Millet; Ferment liquid; Dried fruits,"Soak and ferment rice, cook with raisins and jujubes, layer yellow and white grains.",Tangy & Chewy,Advanced,12 h
Steamed Buns (No Second Rise),Flour; Water; Yeast,"Mix and knead dough, shape buns, rise once, steam on induction cooker until fluffy.",Soft & Fluffy,Simple,1.5 h
Steamed & Roasted Beef with Onion,Beef; Onion; Satay sauce; Oil,"Marinate beef, layer over onions, roast at 230°C for 15 minutes until tender and juicy.",Aromatic & Juicy,Simple,25 min
Crispy Tofu with Stinky Tofu Sauce,Tofu; Stinky tofu; Sesame paste; Chili; Soy sauces; Spices,"Fry tofu until crisp, coat in spicy sesame-stinky tofu sauce.",Spicy & Funky,Medium,30 min
Cucumber Shrimp & Egg Rice,Brown shrimp; Egg; Cucumber; Salt; Pepper; Green onion,"Pan-sear shrimp, scramble eggs, top over rice, garnish with salted cucumber slices.",Fresh & Comforting,Simple,20 min
Spicy Ciabatta Bread,Flour; Yeast; Chili flakes; Sausage,"Mix dough with chili and sausage, fold and rest, bake at 210°C for 20 minutes.",Spicy & Chewy,Medium,2 h
Spicy Braised Meat Strips,Pork or beef tenderloin; Dried chili; Sichuan peppercorns; Onion; Cilantro; Beer; Spices,"Boil spiced meat until tender, stir-fry with chili and peppercorns, finish with beer and sesame glaze.",Mala & Aromatic,Advanced,1 h
Salted Pork & Cabbage Soup,Salted pork; Cabbage; Carrot; Potato; Celery; Onion; Beans; Herbs; Spices,Simmer all ingredients with herbs for 1.5 h until tender and flavorful.,Hearty & Savory,Simple,90 min
Dark Chocolate Babka,Flour; Milk; Yeast; Sugar; Egg; Butter; Chocolate,"Make enriched dough, fill with melted chocolate butter, twist and bake until golden.",Soft & Sweet,Advanced,3 h
Mild Spicy Shrimp Rice Bowl,Shrimp; Chili; Onion; Garlic; Vinegar; Herbs,"Marinate shrimp in chili-herb mix, sauté, simmer briefly, serve over rice with salad.",Fresh & Slightly Spicy,Medium,30 min
Sea Intestine Rice with Shrimp & Pork,Sea intestine; Shrimp; Pork; Rice; Chives; Soy sauces; Starch,"Stir-fry shrimp, pork, and chives, add sauce and sea intestine, thicken with starch.",Seafood & Umami,Medium,25 min
Loquat Preserves (Cough Remedy),Loquat; Pear; Loquat leaves; Rock sugar; Lemon,"Boil herbs to make syrup, pour over peeled loquat, sterilize jars, seal airtight.",Sweet & Soothing,Advanced,2 h
Cantonese Soy Sauce Chicken,Chicken; Soy sauces; Ginger; Scallion; Sugar; Pepper; Oyster sauce,"Pan-sear chicken, braise in soy mixture until glossy and tender.",Sweet & Salty,Medium,45 min
Stir-Fried Beef with Celery & Peppers,Beef; Celery; Green chili; Garlic; Red chili,"Stir-fry beef with garlic and chili, add vegetables, cook until crisp-tender.",Fresh & Spicy,Simple,15 min
Hōjicha Pudding Cake,Sugar; Milk; Egg; Tea powder; Flour; Oil,"Layer caramel, tea custard, and sponge, bake in water bath until set.",Toasty & Creamy,Advanced,1.5 h
Zucchini with Sliced Pork,Zucchini; Pork; Chili; Garlic; Soy sauces; Oyster sauce,"Marinate pork, stir-fry with zucchini and sauce until glossy and tender.",Light & Homey,Simple,20 min
Duck Gizzard & Pig Ear Stir-Fry,Duck gizzard; Pig ear; Celery; Garlic; Chili; Soy sauces,"Stir-fry duck gizzard, add aromatics and pig ear, season with soy and vinegar.",Crunchy & Savory,Medium,25 min
Plain Rice Porridge,Rice; Water; Alkali,Cook rice with water and pinch of alkali until creamy and smooth.,Mild & Comforting,Simple,50 min
Spicy Chicken with Yam,Chicken; Yam; Chili; Sichuan pepper; Soy sauces,"Cook chicken with sugar and chili, simmer with yam until tender, add peppers.",Spicy & Sticky,Medium,40 min
Cold-Fried Bolete Mushroom,Wild bolete; Garlic; Soy sauce; Salt,"Stir-fry mushrooms with garlic, season, dry out for chewy texture.",Earthy & Spiced,Simple,20 min
Unagi Don (Eel Rice Bowl),Eel; Rice; Egg; Peas; Mushroom,"Reheat eel, layer with rice, egg, and vegetables, drizzle sauce before serving.",Sweet & Savory,Simple,20 min
Bitter Melon Egg Pancake (Low-Oil),Egg; Bitter melon; Flour; Salt; Walnut oil,"Chop bitter melon, mix into egg-flour batter, lightly fry both sides until golden.",Light & Healthy,Simple,15 min
Sweet-Sour Pineapple Beef,Beef; Pineapple; Lemon; Chili; Garlic; Soy sauces; Onion; Cilantro,"Sauté marinated beef, add pineapple and tangy chili sauce, finish with sesame.",Tangy & Fragrant,Medium,25 min
Oyster & Chicken Claypot,Oyster; Chicken; Garlic; Onion; Ginger; Oyster sauce; Seafood sauce,"Pan-sear marinated chicken, stew with aromatics, add oysters to finish.",Savory & Oceanic,Medium,30 min
Spicy Curry Minced Beef,Riced beef; Curry; Onion; Potato; Carrot; Chili; Garlic; Soy sauces,"Cook minced beef with curry vegetables, serve saucy over rice.",Spicy & Comforting,Medium,30 min
Satay Pan-Seared Chicken Thigh,Chicken thigh; Satay; Peanut butter; Onion; Garlic; Sesame,"Marinate chicken, pan-sear with sauce and vegetables, sprinkle sesame.",Nutty & Savory,Medium,25 min
Stir-Fried Water Spinach Stems with Shrimp Paste,Water spinach; Shrimp paste; Chili; Pork; Oyster sauce,"Fry pork with shrimp paste and chili, add stems, cover briefly, stir and serve.",Salty & Aromatic,Simple,15 min
Braised Ribs with Celery & Pickled Chili,Ribs; Celery; Pickled chili; Garlic; Soy sauces; Bean paste; Sugar,"Braise ribs with pickled chili, then stir in celery and peppers for crisp finish.",Spicy & Rich,Medium,50 min
Tomato Potato Braised Beef,Beef; Tomato; Potato; Carrot; Soy sauces; Ginger,Braise beef with tomatoes and veggies until tender and saucy.,Homey & Comforting,Medium,1 h
Stir-Fried Romaine Lettuce with Dace in Black Bean Sauce,Dace; Lettuce; Garlic; Black beans; Oil; Salt,"Fry black beans and fish, add lettuce for quick, aromatic stir-fry.",Umami & Quick,Simple,10 min
Braised Hairtail Fish,Hairtail fish; Soy sauces; Chili; Garlic; Star anise; Sugar,"Pan-fry fish, braise in seasoned soy sauce with chili and spices until glazed.",Spicy & Sweet,Medium,35 min
Taro Mochi Salted Egg Yolk Puff Pastry,Taro; Glutinous rice flour; All-purpose flour; Low-gluten flour; Lard; Sugar; Butter; Milk; Salted egg yolk,"Layered pastry filled with mashed taro, mochi center, and salted yolk, baked until golden and flaky.",Delicate & Buttery,Advanced,2 h
Sweet Potato Cheese Puff,Sweet potato; Mozzarella; Egg; Puff pastry; Sesame,"Mash sweet potato, spread on pastry, roll, brush egg wash, sprinkle sesame, air-fry until crisp and golden.",Sweet & Cheesy,Simple,25 min
Sour Plum Herbal Tea,Smoked plum; Hawthorn; Hibiscus; Licorice; Chenpi; Brown sugar; Honey; Mint; Osmanthus,"Simmer ingredients 40 min, steep, sweeten with sugar and honey, chill before serving.",Refreshing & Tangy,Simple,1 h
Mixed Grass Jelly Dessert,Grass jelly powder; Taro balls; Sago; Red beans; Milk; Condensed milk,"Boil jelly, cool to set, add chilled toppings and milk-condensed syrup.",Cool & Chewy,Medium,1.5 h
Sweet Milk Custard with Rice Wine (Tang Zheng Su Lao),Rice wine soup; Milk; Osmanthus,"Steam milk mixed with sweet rice wine, chill until set and top with osmanthus.",Mild & Aromatic,Simple,30 min
Chive and Bean Sprout Egg Stir-Fry,Egg; Chives; Bean sprouts; Garlic; Soy sauce; Oyster sauce; Salt,"Lightly fry eggs, stir-fry chives and sprouts with seasoning, combine and toss briefly.",Fresh & Savory,Simple,15 min
Spicy Stir-Fried Pork with Chili,Chili; Pork belly; Garlic; Bean paste; Soy sauces; Pepper; Chili pepper,"Sear chili until blistered, stir-fry marinated pork with garlic and bean paste, season with soy sauces.",Spicy & Savory,Medium,25 min
Steamed Oysters with Garlic Sauce,Oyster; Garlic; Chili; Soy sauce; Oyster sauce; Oil; Sugar; Salt,"Prepare garlic oil, mix seasonings, top oysters with glass noodles and sauce, steam until cooked.",Aromatic & Umami,Medium,30 min
Mixed Grain Milk Jelly,Milk; Jelly powder; Grains; Sweetener,"Cook jelly base, layer with cooked grains, cool to set, chill before serving.",Light & Healthy,Simple,40 min
Braised Chicken with Flatbread (Di Guo Ji),Chicken; Mushrooms; Bean paste; Noodles; Flour; Spices,"Braise chicken with seasonings and vegetables, stick dough rounds to pot edges, simmer until set.",Rich & Hearty,Advanced,1.5 h
Claypot Rice with Sausage and Egg,Rice; Sausage; Egg; Greens; Sweet soy sauce,"Cook rice in oiled pot, top with sausage, egg, greens, drizzle with soy sauce to form crispy crust.",Fragrant & Comforting,Medium,45 min
Stir-Fried Cucumber with Pork and Green Pepper,Cucumber; Pork; Green pepper; Salt; Oil,"Stir-fry pork, add pepper and cucumber, season lightly with salt, cook until crisp-tender.",Fresh & Simple,Simple,15 min
Spicy Stir-Fried Lotus Root,Lotus root; Chili; Garlic; Scallion,"Blanch sliced lotus, stir-fry with chili and garlic, season with soy sauce and pepper.",Spicy & Crunchy,Simple,20 min
Cherry Preserves,Cherry; Rock sugar,"Layer cherries with sugar, steam, jar while hot, cool and refrigerate.",Sweet & Fruity,Simple,40 min
Low-Calorie Curry Udon,Udon noodles; Curry powder; Milk; Beef slices; Tomato; Greens; Onion,"Cook curry sauce with onion and tomato, add milk and beef, simmer with udon until thickened.",Mild & Creamy,Simple,30 min
"Loofah, Edamame & Tofu Soup",Loofah; Tofu; Edamame; Garlic; Salt; MSG; Oil,"Pan-fry tofu slices, then simmer with loofah, edamame, garlic, and ginger until tender.",Light & Fresh,Simple,25 min
Stir-Fried Pork with Leek and Pepper,Pork; Leek; Green chili; Bean paste; Garlic; Vinegar; Sugar; Chicken essence,"Render pork until golden, stir-fry with bean paste, leeks, and peppers, season to taste.",Spicy & Savory,Medium,30 min
Cold Chicken Noodle Salad,Chicken breast; Noodles; Cucumber; Carrot; Garlic; Sesame paste; Vinegar,"Poach chicken, shred, mix noodles with vegetables and sesame dressing, chill before serving.",Cool & Nutty,Simple,30 min
Pickled Chili Chicken Feet,Chicken feet; Pickled chili; Lemon; Ginger; Vinegar; Spices; Celery,"Boil chicken feet with spices, soak in spiced vinegar brine with lemon and chili, refrigerate.",Spicy & Tangy,Medium,1 d
Fresh Stewed Bird’s Nest,Bird’s nest; Milk; Water,"Soak bird’s nest, gently stew in milk and water until soft and gelatinous.",Delicate & Nourishing,Simple,1 h
Spicy Marinated Grass Carp Fillet,Grass carp; Chili; Soy sauce; Oyster sauce; Sugar; Garlic; Onion,"Quick-boil fish slices, toss in stir-fried chili-garlic sauce, garnish with scallions.",Spicy & Umami,Simple,25 min
Snowflake Crispy Candy,Marshmallow; Biscuits; Nuts; Cranberry; Milk powder; Butter,"Melt marshmallows with butter, stir in fillings, mold and cool before slicing.",Sweet & Chewy,Simple,30 min
Spicy Instant Noodle Hotpot,Instant noodles; Onion; Tomato; Crab stick; Garlic; Hotpot sauce,"Stir-fry aromatics and sauce, add water, boil noodles and ingredients, simmer until rich.",Hot & Comforting,Simple,20 min
Chive Pork Dumplings,Chives; Pork; Ginger; Garlic; Soy sauce; Oyster sauce; Dumpling wrappers,"Mix seasoned pork and chives, wrap in dough, boil until floating and serve hot.",Juicy & Aromatic,Medium,1 h
Tomato Vegetable Shrimp Stew ,Shrimp; Tomato; Bell peppers; Tomato paste; Olive oil; Salt; Black pepper,"Blend and simmer tomatoes and peppers with paste and oil, add shrimp, cook until tender.",Light & Savory,Simple,25 min
Shrimp & Veggie Brown Rice,Brown rice; Shrimp; Carrot; Bell pepper; Celery; Salt; Black pepper; Olive oil,"Cook soaked brown rice, stir-fry shrimp and vegetables, mix together, season lightly.",High-Protein & Wholesome,Medium,50 min
Homestyle Lanzhou Beef Noodle Soup,Noodles; Beef; Tomato; Garlic; Ginger; Soy sauce; Cilantro,"Braise beef with tomato, garlic, and soy, cook noodles in broth, top with beef and herbs.",Rich & Hearty,Medium,40 min
Spicy Dry Pot Catfish,Catfish; Chili; Peppercorn; Garlic; Ginger; Bean paste; Hotpot base,"Fry catfish until crisp, stir-fry with chili, peppercorn, and sauce, toss with seasonings.",Spicy & Aromatic,Medium,35 min
Stir-Fried Pork with Pickled Vegetables,Pork; Pickled chili; Pickled radish; Pickled mustard; Garlic; Soy sauce,"Sauté pork, add assorted pickled vegetables, stir-fry until fragrant and slightly tangy.",Sour & Savory,Simple,20 min
Yu Xiang Egg Stir-Fry,Egg; Wood ear; Carrot; Soy sauce; Vinegar; Sugar; Garlic,"Scramble eggs, stir-fry with vegetables, coat with sweet-sour garlic sauce.",Sweet & Tangy,Simple,20 min
Spicy Fried Tofu Cubes,Tofu; Dried chili; Peppercorn; Garlic; Cumin; Chili powder; Spices,"Fry tofu until blistered, toss with spice mix and chili oil until fragrant.",Spicy & Crispy,Simple,25 min
Thai Spicy Lemon Chicken Feet,Chicken feet; Lemon; Chili; Garlic; Ginger; Thai dressing,"Boil and debone chicken feet, marinate with lemon, chili, and Thai sauce, chill before serving.",Spicy & Refreshing,Simple,1 h
Stir-Fried Potato & Carrot Slices,Potato; Carrot; Soy sauce; Oyster sauce; Seasoning,"Blanch slices, stir-fry with sauces and seasoning until evenly glazed.",Light & Appetizing,Simple,15 min
Black Bean Pigeon Soup with Herbs,Pigeon; Black bean; Chinese herbs; Ginger; Chenpi,"Simmer pigeon with herbs and beans for 2.5 hours, season lightly with salt.",Nourishing & Mild,Medium,2.5 h
Crispy Salt & Pepper Potato Cakes,Potato; Garlic; Scallion; Salt; Chili; Pepper powder,"Steam and flatten potatoes, pan-fry until golden, toss with garlic, chili, and salt.",Crunchy & Spicy,Simple,30 min
Black Rice Spring Pancakes,Flour; Black rice flour; Salt; Water,"Make soft dough with hot and cold water, stack oiled rounds, cook and peel into thin pancakes.",Soft & Nutty,Medium,1 h
Stir-Fried Banana Blossom,Banana blossom; Chili; Garlic; Soy sauce; Salt; MSG,"Blanch banana blossom, stir-fry with chili and garlic, season lightly.",Savory & Unique,Medium,25 min
Chive & Egg Black Rice Pancakes,Chive; Egg; Flour; Black rice flour; Salt; Oyster sauce,"Mix dough, stuff with chive-egg filling, pan-fry until crisp and golden.",Nutty & Fragrant,Medium,45 min
Braised Pork Belly with Preserved Mustard Greens,Pork belly; Preserved greens; Soy sauce; Sugar; Spices,"Blanch, fry, and steam pork with seasoned greens until tender and richly glazed.",Rich & Aromatic,Advanced,3 h
Cucumber & Century Egg Soup,Cucumber; Century egg; Egg; Soy sauce; White pepper,"Sauté eggs and aromatics, simmer with cucumber and century egg until broth turns milky.",Light & Comforting,Simple,30 min
Black Pepper Beef,Beef tenderloin; Oyster sauce; Soy sauces; Onion; Garlic; Ginger,"Pan-sear beef cubes, sauté aromatics, stir in oyster-soy black pepper sauce, combine with greens.",Savory & Peppery,Medium,30 min
Stir-Fried Pork with Lotus Shoots,Pork tenderloin; Lotus shoots; Chili; Starch,"Marinate pork with salt and starch, stir-fry until nearly done, add lotus shoots and chili, season lightly.",Crisp & Fragrant,Simple,20 min
Braised Donkey Meat with Soy Paste,Donkey meat; Egg; Soybean paste; Spices,"Blanch meat, braise with spices and sauce, add boiled eggs, pressure-cook until tender, chill to set.",Rich & Aromatic,Advanced,2 h
Cabbage Tofu Egg Soup,Egg; Cabbage; Tofu; Salt,"Fry egg, add water and tofu, simmer briefly, add cabbage, season with salt and pepper.",Light & Comforting,Simple,20 min
Herbal Pork Kidney Soup,Pork kidney; Red dates; Ginger; Angelica; Codonopsis; Astragalus,"Blanch kidney, simmer with herbs and ginger for 45 minutes, season lightly.",Nourishing & Warming,Medium,1 h
Spicy Shredded Chicken,Chicken breast; Soy sauce; Oyster sauce; Chili; Sichuan pepper; Sugar,"Shred boiled chicken, stir-fry with chili and pepper until crisp, coat with sweet-savory sauce.",Spicy & Aromatic,Simple,30 min
Stir-Fried Clams,Clams; Ginger; Chili; Onion; Soy sauce; Rice wine,"Blanch clams, stir-fry with aromatics, season with soy and rice wine, finish with green chili and scallion.",Savory & Juicy,Medium,25 min
Mint Fried Eggs,Mint leaves; Eggs; Salt; Oil,"Whisk eggs with salt, pan-fry thin, top with mint leaves before flipping, cook until fragrant.",Herbal & Light,Simple,10 min
Bitter Melon Soybean Rib Soup,Bitter melon; Soybeans; Ribs; Shiitake; Dried shrimp; Garlic; Oyster sauce; Chicken stock,"Simmer soaked soybeans, ribs, and vegetables until tender, season before serving.",Clear & Nourishing,Medium,2 h
Hot & Sour Chicken,Chicken; Pickled vegetables; Chili; Ginger; Garlic; Soy sauce,"Stir-fry marinated chicken with pickled veggies and chili, add water to simmer, reduce and serve.",Spicy & Tangy,Medium,30 min
Hainan Chicken Rice ,Chicken thigh; Rice; Ginger; Scallion; Soy sauce; Oil; Salt,"Poach chicken with aromatics, use broth to cook rice, drizzle with ginger-scallion oil.",Fragrant & Savory,Medium,1 h
Carrot Shreds with Pork,Carrot; Pork; Green pepper; Soy sauce; Salt; Chicken essence,"Stir-fry carrots dry, then pork and pepper, season lightly for a crisp, sweet finish.",Homey & Crisp,Simple,20 min
Squid with Pickled Mustard,Squid; Pickled greens; Onion; Garlic; Chili; Oyster sauce,"Stir-fry aromatics and pickled greens, add squid and peppers, toss with sauce and cilantro.",Tangy & Spicy,Medium,25 min
Beef with Mushrooms,Beef; Mushrooms; Soy sauce; Oyster sauce; Egg; Starch; Black pepper,"Marinate beef with egg and starch, stir-fry with mushrooms, finish with sauces and pepper.",Savory & Umami,Medium,25 min
Low-Calorie Mint Beef Salad,Beef; Mint; Onion; Wood ear mushrooms; Chili; Garlic; Soy sauce; Oyster sauce; Cooking wine; Pepper,"Blanch beef slices, mix with vegetables and mint, toss with soy-oyster dressing, serve chilled.",Fresh & Spicy,Simple,25 min
Spicy Marinated Cucumber,Cucumber; Peppercorn; Dried chili; Peanut oil; Soy sauce; Vinegar,"Pour hot spiced oil over salted cucumber strips, season with soy and vinegar, toss evenly.",Crunchy & Tangy,Simple,15 min
Apple Red Cabbage Salad,Red cabbage; Apple; Sesame oil; Lemon; Soy sauce; Salt; Mint; Sesame,"Shred cabbage and apple, crush toasted sesame, mix with lemon juice and dressing.",Crisp & Refreshing,Simple,20 min
Garlic Oyster Sauce (for Steamed Oysters),Garlic; Scallion whites; Soy sauce; Oyster sauce; Sugar,"Fry part of the garlic until golden, mix with raw garlic, season with soy, oyster sauce, and sugar.",Aromatic & Savory,Simple,15 min
Yu Xiang Shredded Pork,Pork; Bamboo shoots; Wood ear; Green pepper; Soy sauces; Vinegar; Sugar; Bean paste; Starch,"Stir-fry pork and vegetables, add bean paste and fish-flavored sauce, cook until glossy.",Spicy & Sweet-Sour,Medium,30 min
Refreshing Cucumber Salad,Cucumber; Soy sauce; Vinegar; Mustard oil; Garlic; Cilantro; Sesame oil,"Cut cucumber, mix with dressing of soy, vinegar, and mustard oil, toss with herbs.",Light & Fragrant,Simple,10 min
Thai Basil Minced Pork Rice,Pork; Garlic; Chili; Basil; Fish sauce; Soy sauces; Sugar; Egg,"Stir-fry minced pork with chili and garlic, season with sauces and sugar, add basil, serve with rice and fried egg.",Spicy & Aromatic,Medium,25 min
Pineapple Sweet-Sour Ribs,Ribs; Pineapple; Soy sauce; Ginger; Vinegar; Sugar; Star anise,"Braise ribs with caramelized sugar and vinegar, add pineapple near the end for balance.",Sweet & Tangy,Medium,1 h
Asparagus & Mushroom Shrimp Stir-Fry,Shrimp; Asparagus; Mushrooms; Garlic; Soy sauce; Oyster sauce,"Blanch asparagus, stir-fry shrimp and mushrooms, combine with sauces and aromatics.",Light & Nutritious,Simple,20 min
Beef Udon with Tea Broth,Udon; Beef slices; Kombu; Bonito flakes; Soy sauce; Sukiyaki sauce,"Prepare dashi from kombu and bonito, cook udon and beef, serve with chilled broth and toppings.",Clean & Umami,Medium,45 min
Garlic Water Spinach,Water spinach; Garlic; Salt; Oyster sauce,"Stir-fry garlic until golden, add stems first then leaves, season with salt and oyster sauce.",Crisp & Savory,Simple,15 min
Chilled Pork Belly Salad,Pork belly; Onion; Garlic; Chili; Soy sauce; Chili oil; Sichuan oil,"Boil pork with spices, slice thin, mix with aromatics and chili oil dressing.",Rich & Spicy,Simple,25 min
Stir-Fried Beans & Potatoes,Green beans; Potato; Garlic; Chili; Oyster sauce; Soy sauce; Starch,"Deep-fry beans and potatoes, stir-fry with garlic and chili, coat in savory sauce.",Spicy & Hearty,Medium,30 min
Jiangxi Spicy Chicken Feet,Chicken feet; Chili; Garlic; Ginger; Soy sauces; Spices; Chili powder,"Braise chicken feet with spices, stir-fry with chili and garlic, coat in spicy seasoned broth.",Hot & Savory,Medium,45 min
Dry-Fried Green Beans with Beef,Green beans; Beef; Chili; Garlic; Sichuan pepper; Soy sauce; Salt,"Deep-fry beans until wrinkled, stir-fry with beef and chili for a smoky, crisp texture.",Spicy & Fragrant,Medium,30 min
Spicy Peppercorn Catfish Pot,Catfish; Fresh peppercorn; Chili; Soy sauce; Fermented bean paste; Garlic; Tofu; Cabbage,"Boil catfish with sauces and fresh peppercorns, top with hot oil for aroma, serve with veggies.",Numbing & Spicy,Medium,40 min
Mango Pomelo Sago,Mango; Pomelo; Sago; Coconut milk; Milk; Sugar,"Cook sago, mix with coconut milk, add mango and pomelo chunks, chill before serving.",Sweet & Refreshing,Simple,20 min
Clear-Braised Beef Short Ribs,Beef ribs; Ginger; Scallion; Star anise; Bay leaf; Soy sauce; Salt,"Boil ribs with aromatics, skim foam, pressure cook until tender, season to taste.",Clear & Aromatic,Medium,1 h
Summer Fuzzy Gourd Vermicelli Claypot,Fuzzy gourd; Dried shrimp; Pork; Vermicelli; Chu hou sauce; Soy sauce,"Stir-fry pork and shrimp with sauce, add gourd and dry noodles, braise until soft and flavorful.",Light & Savory,Medium,30 min
Spicy Dry-Fried Pork Liver,Pork liver; Chili; Sichuan pepper; Ginger; Soy sauces; Cumin; Sesame,"Boil liver, slice, stir-fry with chili, spices, and soy until dry and fragrant.",Hot & Aromatic,Medium,25 min
Stir-Fried Pickled Mustard Shreds,Pickled mustard; Pork belly; Chili; Green pepper; Chicken essence,"Stir-fry pork and chili, add soaked pickled mustard, season lightly.",Sour & Savory,Simple,15 min
Squid Fried Rice with Egg,Squid rice; Egg; Scallion; Salt; Oil,"Pan-fry squid rice, pour beaten egg, add scallion, cook both sides golden.",Fragrant & Hearty,Simple,15 min
Yu Xiang Shredded Pork,Pork; Wood ear; Carrot; Green pepper; Soy sauce; Vinegar; Sugar; Bean paste,"Marinate pork, stir-fry with vegetables and bean paste, add sauce mix to glaze.",Sweet & Spicy,Medium,25 min
Bamboo Tube Sticky Rice,Pork; Glutinous rice; Salted egg yolk; Soy sauce; Mixed vegetables,"Marinate pork, mix with seasoned rice and fillings, steam in bamboo tube until tender.",Fragrant & Hearty,Medium,1 h
Spicy Braised Chicken Feet,Chicken feet; Beer; Soy sauce; Garlic; Chili; Ginger; Spices,"Braise chicken feet in spiced beer-soy broth, simmer until soft, reduce for rich glaze.",Hot & Savory,Medium,1 h
